iter	Passed	Remaining
0	1	144
1	2	131
2	3	127
3	5	124
4	6	121
5	9	151
6	12	167
7	14	163
8	15	156
9	16	150
10	17	145
11	19	140
12	20	136
13	22	138
14	24	141
15	27	143
16	28	140
17	29	136
18	31	132
19	32	129
20	33	126
21	35	124
22	37	125
23	40	126
24	41	125
25	43	122
26	44	120
27	45	117
28	47	115
29	48	113
30	49	111
31	51	109
32	53	108
33	55	107
34	56	105
35	58	103
36	59	101
37	60	99
38	62	97
39	63	95
40	64	93
41	66	92
42	69	92
43	72	91
44	73	89
45	74	87
46	75	85
47	76	83
48	78	81
49	79	79
50	82	79
51	84	78
52	86	76
53	87	74
54	89	72
55	90	71
56	91	69
57	93	67
58	95	66
59	99	66
60	101	64
61	102	63
62	104	61
63	105	59
64	107	57
65	108	55
66	110	54
67	114	53
68	116	52
69	117	50
70	118	48
71	120	46
72	121	45
73	123	43
74	123	41
75	126	40
76	128	38
77	129	36
78	131	34
79	132	33
80	134	31
81	135	29
82	136	27
83	137	26
84	140	24
85	144	23
86	146	21
87	147	20
88	149	18
89	150	16
90	151	15
91	154	13
92	157	11
93	159	10
94	160	8
95	162	6
96	163	5
97	165	3
98	166	1
99	168	0
